warehouse_id,warehouse_name,lat,lon,stores_served,gold,silver,bronze,avg_seg_score,states_covered,max_radius_km
1,CEDI-01 · La Paz,24.2077,-109.1915,15,3,6,6,1.8,2,196.9
2,CEDI-02 · Tampico,22.1038,-98.1783,18,4,8,6,1.89,3,208.9
3,CEDI-03 · Merida,20.7193,-88.4414,52,11,20,21,1.81,3,283.9
4,CEDI-04 · San Luis,32.3857,-116.2017,32,7,14,11,1.88,4,280.1
5,CEDI-05 · Veracruz,19.1284,-96.6387,82,20,34,28,1.9,3,366.0
6,CEDI-06 · Victoria de Durango,24.1975,-104.3863,26,4,14,8,1.85,4,234.9
7,CEDI-07 · Villahermosa,17.3982,-93.4446,45,7,21,17,1.78,5,339.6
8,CEDI-08 · Guadalajara,20.4083,-103.6924,58,9,31,18,1.84,4,311.7
9,CEDI-09 · Puebla,19.221,-99.078,189,44,80,65,1.89,7,313.4
10,CEDI-10 · Santiago de Queretaro,20.977,-101.3119,55,14,26,15,1.98,7,236.1
11,CEDI-11 · Chihuahua,29.4357,-106.0699,28,6,13,9,1.89,2,281.2
12,CEDI-12 · Guadalupe,25.8299,-100.0638,76,13,37,26,1.83,5,397.8
13,CEDI-13 · Hermosillo,29.0377,-110.754,16,4,7,5,1.94,1,254.8
