name,brand,opening_hours,lat,lon,city,state,warehouse_id,customer_id,segment,geofence_radius_m
Walmart Supercenter,Walmart,,19.3064706,-99.1872597,Tlalpan,Mexico City,CED001,0344608060,gold,150
Walmart Supercenter,Walmart,"Mo-Su,PH 07:00-23:00",19.3717405,-99.1762739,Colonia del Valle,Mexico City,CED001,0232387460,bronze,150
Walmart,Walmart,,19.3382162,-99.1841616,Coyoacan,Mexico City,CED001,0147186414,silver,150
Walmart Express,Walmart,,19.3212772,-99.2215349,Magdalena Contreras,Mexico City,CED001,0993486876,silver,150
Walmart Supercenter,Walmart,"Mo-Su,PH 07:00-22:00",19.369736,-99.193947,Alvaro Obregon,Mexico City,CED001,0761160384,gold,150
Walmart Express,Walmart,,19.4222264,-99.2374153,Polanco,Mexico City,CED001,0905464023,gold,150
Walmart Supercenter,Walmart,,19.3686146,-99.1641869,Colonia del Valle,Mexico City,CED001,0504926319,gold,150
Walmart Express,Walmart,,19.3559387,-99.2767026,Cuajimalpa,Mexico City,CED001,0843122060,bronze,150
Walmart,Walmart,Mo-Su 07:00-23:00,20.6154935,-100.3975719,Santiago de Queretaro,Queretaro,CED001,0148981986,gold,150
Walmart,Walmart,,24.0365014,-104.6533742,Victoria de Durango,Durango,CED002,0075423422,gold,150
Walmart Supercenter,Walmart,,19.3179305,-99.1255283,Coyoacan,Mexico City,CED001,0688716148,bronze,150
Walmart Supercenter,Walmart,,19.2930643,-99.1237177,Xochimilco,Mexico City,CED001,0527218291,bronze,150
Walmart Supercenter,Walmart,,22.1373898,-101.0027833,San Luis Potosi,San Luis Potosi,CED001,0087153055,gold,150
Walmart,Walmart,,32.6575971,-115.41412,Mexicali,Baja California,CED002,0638455976,gold,150
Walmart Express,Walmart,,19.3048072,-99.2209769,Magdalena Contreras,Mexico City,CED001,0303641465,silver,150
Walmart Express,Walmart,Mo-Su 07:00-23:00,19.3445301,-99.1561411,Coyoacan,Mexico City,CED001,0623624732,silver,150
Walmart Express,Walmart,,19.342515,-99.2482174,Magdalena Contreras,Mexico City,CED001,0204033517,bronze,150
Walmart,Walmart,,20.6293167,-87.0762127,Playa del Carmen,Quintana Roo,CED003,0684607202,silver,150
Walmart,Walmart,Mo-Su 08:30-20:00,18.1398778,-94.4716734,Coatzacoalcos,Veracruz,CED001,0829740802,silver,150
Walmart Express,Walmart,Mo-Su 07:00-00:00,19.3581589,-99.1519554,Coyoacan,Mexico City,CED001,0433226283,silver,150
Walmart,Walmart,,25.4246006,-100.9803516,Saltillo,Coahuila,CED002,0456475700,bronze,150
Walmart,Walmart,,25.7224207,-100.2206661,Guadalupe,Nuevo Leon,CED002,0929908577,gold,150
Walmart,Walmart,Mo-Su 07:00-22:00,19.0449581,-98.2369646,Puebla,Puebla,CED001,0142427371,bronze,150
Walmart,Walmart,,19.05795,-98.2239308,Puebla,Puebla,CED001,0364376079,bronze,150
Walmart Express,Walmart,,21.9249095,-102.3172616,Pocitos,Aguascalientes,CED001,0925298174,bronze,150
Walmart Miguel Alemán,Walmart,,25.6910492,-100.239978,Guadalupe,Nuevo Leon,CED002,0401043853,bronze,150
Walmart Express,Walmart,,19.3838955,-99.1771782,Colonia del Valle,Mexico City,CED001,0909202666,gold,150
