warehouse_id,warehouse_code,warehouse_name,lat,lon
1,CEDI-01,CEDI-01 · Merida,20.7285,-88.4851
2,CEDI-02,CEDI-02 · Guadalupe,25.7765,-100.0403
3,CEDI-03,CEDI-03 · Veracruz,18.9533,-96.5567
4,CEDI-04,CEDI-04 · San Luis,32.3857,-116.2017
5,CEDI-05,CEDI-05 · Victoria de Durango,24.095,-104.2551
6,CEDI-06,CEDI-06 · Hermosillo,29.0377,-110.754
7,CEDI-07,CEDI-07 · Santiago de Queretaro,20.9133,-101.2726
8,CEDI-08,CEDI-08 · Chihuahua,29.4357,-106.0699
9,CEDI-09,CEDI-09 · Villahermosa,17.3982,-93.4446
10,CEDI-10,CEDI-10 · Puebla,19.2184,-99.0764
11,CEDI-11,CEDI-11 · Guadalajara,20.4083,-103.6924
12,CEDI-12,CEDI-12 · La Paz,24.1382,-109.2238
13,CEDI-13,CEDI-13 · Tampico,21.437,-97.8451
