product_id,sku,name,description,price,currency,weight_kg,dimensions_cm,is_active
TRBT-001,TRBT-NEURALCARNE-PRO,NeuralCarne Pro,AI-powered beef barbacoa robot trained on 1M abuela recipes. 99.4% flavor accuracy. Auto tortilla press included.,4899.99,USD,38.5,60x45x120,True
TRBT-002,TRBT-ALPHAPASTOR-V2,AlphaGrill Pastor v2,Al pastor robot with RL marinade optimizer and laser pineapple slicer. 220 tacos/hr.,5250.0,USD,45.0,70x50x130,True
TRBT-003,TRBT-DEEPFRY-GPT,DeepFryer-GPT,Carnitas frying robot with thermal neural net. Oil temp precision ±0.1°C. 99.7% crispiness SLA.,3799.0,USD,52.0,75x55x110,True
TRBT-004,TRBT-BERT-GRILL-3,BERT-asada Grill 3.0,Bidirectional carne asada robot that scans meat protein structure before grilling. Lime sprayer included.,6100.0,USD,60.0,80x60x140,True
TRBT-005,TRBT-LLAMA2-LENGUA,Llama-2 Lengua Cooker,8-hour slow cooker supervised by Llama-2. Auto jalapeño pickler and avocado cream dispenser.,5500.0,USD,70.0,85x65x150,True
TRBT-006,TRBT-TRANSFORMER-POLLO,Transformer Pollo Bot,Grilled chicken robot with attention-weighted chipotle marinade. Each bite contextually linked to the previous.,4100.0,USD,41.0,65x48x125,True
TRBT-007,TRBT-GANCAMOLE-SHRIMP,GANcamole Shrimp Unit,Grilled shrimp robot with GAN-generated guacamole module. Avocado texture hallucinated from 200k images.,5800.0,USD,47.5,72x52x135,True
TRBT-008,TRBT-RAG-RAJAS,RAG Rajas Vegetarian,Poblano strip and cream robot. Retrieves Oaxacan recipes from a 500k-document knowledge base.,3600.0,USD,35.0,58x42x115,True
TRBT-009,TRBT-DIFFUSION-COCHINITA,Diffusion Cochinita XL,Cochinita pibil robot whose color and texture are iteratively denoised to perfection. Habanero curtido module.,6400.0,USD,65.0,82x62x145,True
TRBT-010,TRBT-MIXTRAL-MIXIOTE,Mixtral Mixiote Pro,Lamb mixiote robot with 8 expert flavor heads. Each expert handles a different chili dimension.,7200.0,USD,72.0,90x70x155,True
ACC-001,ACC-TORTILLA-PRESS-X1,TortillaPress X1,Pneumatic tortilla press module. 300 tortillas/hr. Compatible with all TRBT-series robots.,349.0,USD,4.2,30x30x20,True
ACC-002,ACC-SALSA-MULTIBANK-5,SalsaBank 5-Channel,5-channel salsa dispenser with AI portion control. USB-C connection. Fits all TRBT-series.,199.99,USD,2.1,40x15x20,True
ACC-003,ACC-CILANTRO-DISP-V3,CilantroBot Dispenser v3,Micro-servo cilantro and onion chopper. Gram-level portion precision. 500g refill capacity.,89.0,USD,0.8,10x10x25,True
ACC-004,ACC-LASER-LIME-V1,LaserLime Squeezer v1,Automated lime squeezer with laser targeting. Adjustable squirt radius 5–30cm. 99.1% coverage.,120.0,USD,1.1,15x12x18,True
ACC-005,ACC-AVOCADO-ARM-PRO,AvocadoArm Pro,"Robotic arm for avocado slicing, mashing, and guac dispensing. Ripeness detection via spectral sensor.",450.0,USD,5.5,35x25x40,False
CONS-001,CONS-CORNMIX-25KG,MasaCore Corn Mix 25kg,Pre-mixed corn masa calibrated for TacoBot presses. 47% moisture. Yields ~500 tortillas per bag.,45.0,USD,25.0,50x30x20,True
CONS-002,CONS-LUBRICANT-FOOD-1L,FoodSafe Lube 1L,NSF H1-certified food-safe lubricant for all TacoBot joints. Required every 500 operating hours.,22.5,USD,1.05,8x8x25,True
CONS-003,CONS-HABANERO-PASTE-5KG,HabaneroCore Paste 5kg,Industrial habanero paste for Cochinita and RLHF-Habanero models. Scoville-calibrated at 250k SHU.,38.0,USD,5.0,20x20x15,True
SVC-001,SVC-CLOUD-DASHBOARD-MO,TacoCloud Dashboard (monthly),"Real-time SaaS dashboard: tacos/hr, salsa levels, error logs, predictive maintenance alerts. 99.9% uptime SLA.",79.0,USD,0.0,N/A,True
SVC-002,SVC-MODEL-FINETUNE-MX,Flavor Model Fine-Tune Pack MX,Custom fine-tuning of your robot's flavor model on up to 500 proprietary recipes. Delivered as OTA update in 5 days.,1200.0,USD,0.0,N/A,True
